tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Reunion,REU,Saint-Denis,REU.2_1,108897,4623236.39,"{1: 81592, 2: 27305}",0,81592,27305,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,42975,869500.28,"{1: 42946, 2: 29}",0,42946,29,0,0,0
2022,SH082022,BATSIRAI,2022-01-25 06:00,2022-02-09 12:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,91748,2670851.89,"{1: 91272, 2: 476}",0,91272,476,0,0,0
2022,SH122022,DUMAKO,2022-02-11 06:00,2022-02-16 00:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,1323,0.07,{0: 1323},1323,0,0,0,0,0
2022,SH122022,DUMAKO,2022-02-11 06:00,2022-02-16 00:00,OFCL,Madagascar,MDG,Mahajanga,MDG.4_1,23602,505.38,"{0: 22915, 1: 687}",22915,687,0,0,0,0
2022,SH122022,DUMAKO,2022-02-11 06:00,2022-02-16 00:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,463973,350243.16,"{0: 207904, 1: 256069}",207904,256069,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Madagascar,MDG,Antananarivo,MDG.1_1,133171,11.71,{0: 133171},133171,0,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Madagascar,MDG,Antsiranana,MDG.2_1,865,0.24,{0: 865},865,0,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Madagascar,MDG,Fianarantsoa,MDG.3_1,792311,23769622.76,"{0: 248009, 1: 231204, 2: 305887, 3: 7211}",248009,231204,305887,7211,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Madagascar,MDG,Toamasina,MDG.5_1,160872,15678.22,{0: 160872},160872,0,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Madagascar,MDG,Toliary,MDG.6_1,471630,3477211.53,"{0: 196072, 1: 232732, 2: 42498, 3: 328}",196072,232732,42498,328,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Mauritius,MUS,Savanne,MUS.12_1,25880,68506.12,"{0: 10493, 1: 15387}",10493,15387,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Mauritius,MUS,Black River,MUS.2_1,27234,59659.45,"{0: 5346, 1: 21888}",5346,21888,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Mauritius,MUS,Flacq,MUS.3_1,46147,260139.95,"{0: 1, 1: 46146}",1,46146,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Mauritius,MUS,Grand Port,MUS.4_1,40682,208260.78,"{0: 158, 1: 40524}",158,40524,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Mauritius,MUS,Moka,MUS.5_1,26220,113552.4,"{0: 655, 1: 25565}",655,25565,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Mauritius,MUS,Pamplemousses,MUS.6_1,52094,132626.81,{1: 52094},0,52094,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Mauritius,MUS,Plaines Wilhems,MUS.7_1,144447,77368.96,"{0: 1999, 1: 142448}",1999,142448,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Mauritius,MUS,Port Louis,MUS.8_1,45141,65891.65,"{0: 445, 1: 44696}",445,44696,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Mauritius,MUS,Rivière du Rempart,MUS.9_1,37298,405721.44,{1: 37298},0,37298,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Reunion,REU,Saint-Benoît,REU.1_1,46326,359759.51,"{0: 2716, 1: 43610}",2716,43610,0,0,0,0
2022,SH132022,EMNATI,2022-02-15 12:00,2022-02-25 00:00,OFCL,Reunion,REU,Saint-Denis,REU.2_1,108897,144312.31,"{0: 13995, 1: 94902}",13995,94902,0,0,0,0
