tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,population,loss,wind_cat,wind_cat_0,wind_cat_1,wind_cat_2,wind_cat_3,wind_cat_4,wind_cat_5
1993,SH101993,NONAME,1993-01-11 12:00,1993-01-21 12:00,OFCL,Mauritius,MUS,1246279,2181404.55,"{0: 35803, 1: 1210476}",35803,1210476,0,0,0,0
1993,SH101993,NONAME,1993-01-11 12:00,1993-01-21 12:00,OFCL,Reunion,REU,963140,3879276029.77,"{3: 507254, 4: 455761, 5: 125}",0,0,0,507254,455761,125
1993,SH111993,NONAME,1993-01-16 12:00,1993-01-21 00:00,OFCL,Madagascar,MDG,1344296,984468.25,"{0: 1031095, 1: 313201}",1031095,313201,0,0,0,0
1993,SH121993,NONAME,1993-01-16 00:00,1993-01-30 00:00,OFCL,Mauritius,MUS,407277,527182.99,"{0: 403979, 1: 3298}",403979,3298,0,0,0,0
1993,SH121993,NONAME,1993-01-16 00:00,1993-01-30 00:00,OFCL,Reunion,REU,23,11823.99,{0: 23},23,0,0,0,0,0
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Mauritius,MUS,197263,136753.64,{0: 197263},197263,0,0,0,0,0
1994,SH031994,NONAME,1993-12-11 00:00,1993-12-21 12:00,OFCL,Reunion,REU,71173,5120.58,"{0: 70893, 1: 280}",70893,280,0,0,0,0
1994,SH081994,NONAME,1994-01-08 12:00,1994-01-16 06:00,OFCL,Madagascar,MDG,17222409,665823226.37,"{0: 2175731, 1: 3861808, 2: 4441920, 3: 5956616, 4: 786334}",2175731,3861808,4441920,5956616,786334,0
1994,SH081994,NONAME,1994-01-08 12:00,1994-01-16 06:00,OFCL,Reunion,REU,9601,3560608.75,{0: 9601},9601,0,0,0,0,0
1994,SH131994,NONAME,1994-01-25 12:00,1994-02-05 00:00,OFCL,Madagascar,MDG,16469947,949906113.64,"{0: 3351723, 1: 3041221, 2: 2310598, 3: 6550494, 4: 1173900, 5: 42011}",3351723,3041221,2310598,6550494,1173900,42011
1994,SH151994,NONAME,1994-02-05 06:00,1994-02-14 12:00,OFCL,Mauritius,MUS,1246279,2511019495.23,"{3: 218368, 4: 1027911}",0,0,0,218368,1027911,0
1994,SH151994,NONAME,1994-02-05 06:00,1994-02-14 12:00,OFCL,Reunion,REU,963140,3255797710.27,"{3: 641645, 4: 321414, 5: 81}",0,0,0,641645,321414,81
