tc_season,atcf_id,storm_name,jtwc_start_time,jtwc_end_time,tech,adm0_name,adm0_code,adm1_name,adm1_code,adm2_name,adm2_code,population_15as,population_30as,loss_15as,loss_30as,wind_cat_15as,wind_cat_30as,wind_cat_0_15as,wind_cat_0_30as,wind_cat_1_15as,wind_cat_1_30as,wind_cat_2_15as,wind_cat_2_30as,wind_cat_3_15as,wind_cat_3_30as,wind_cat_4_15as,wind_cat_4_30as,wind_cat_5_15as,wind_cat_5_30as
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,Saint-Leu,REU.3.4_1,35997.0,,94476.75,,"{0: 17800, 1: 18197}",,17800.0,,18197.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Paul,REU.3_1,Saint-Paul,REU.3.5_1,65639.0,,46385.35,,"{0: 58078, 1: 7561}",,58078.0,,7561.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,Cilaos,REU.4.1_1,5283.0,,15036.17,,"{0: 2800, 1: 2483}",,2800.0,,2483.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,L'Entre-Deux,REU.4.2_1,8055.0,,16110.09,,"{0: 5934, 1: 2121}",,5934.0,,2121.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,Le Tampon,REU.4.3_1,88829.0,,642591.34,,"{0: 3805, 1: 85024}",,3805.0,,85024.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,Petite-Île,REU.4.4_1,13515.0,,154420.53,,{1: 13515},,0.0,,13515.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,Saint-Joseph,REU.4.5_1,42861.0,,541342.13,,"{0: 644, 1: 42217}",,644.0,,42217.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,Saint-Louis,REU.4.6_1,61165.0,,32751.27,,"{0: 37614, 1: 23551}",,37614.0,,23551.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,Saint-Philippe,REU.4.7_1,5410.0,,102894.61,,"{0: 94, 1: 5316}",,94.0,,5316.0,,0.0,,0.0,,0.0,,0.0,
1980,SH021980,NONAME,1979-12-10 00:00,1979-12-28 06:00,OFCL,Reunion,REU,Saint-Pierre,REU.4_1,Saint-Pierre,REU.4.8_1,86514.0,,160583.91,,"{0: 6185, 1: 80329}",,6185.0,,80329.0,,0.0,,0.0,,0.0,,0.0,
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,Ambatondrazaka,MDG,,332633.0,,464338.79,,"{0: 6335, 1: 245025, 2: 81273}",,6335.0,,245025.0,,81273.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,Amparafaravola,MDG,,289152.0,,602675.9,,"{0: 2430, 1: 255950, 2: 30772}",,2430.0,,255950.0,,30772.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,Andilamena,MDG,,90134.0,,175194.55,,"{0: 9796, 1: 58462, 2: 21876}",,9796.0,,58462.0,,21876.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,Anosibe An'Ala,MDG,,13371.0,,2.43,,{0: 13371},,13371.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Alaotra Mangoro,MDG,Moramanga,MDG,,233155.0,,21909.12,,"{0: 141828, 1: 91327}",,141828.0,,91327.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,Ambositra,MDG,,1090.0,,0.0,,{0: 1090},,1090.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Amoron'i Mania,MDG,Fandriana,MDG,,8740.0,,0.12,,{0: 8740},,8740.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,1980-01-17 00:00,1980-01-29 00:00,OFCL,Madagascar,MDG,Analamanga,MDG,Ambohidratrimo,MDG,,695970.0,,1670.22,,"{0: 694431, 1: 1539}",,694431.0,,1539.0,,0.0,,0.0,,0.0,,0.0
