tc_season,atcf_id,storm_name,adm0_name,adm0_code,adm1_name,adm1_code,jtwc_start_time_15as,jtwc_start_time_30as,jtwc_end_time_15as,jtwc_end_time_30as,tech_15as,tech_30as,population_15as,population_30as,loss_15as,loss_30as,wind_cat_15as,wind_cat_30as,wind_cat_0_15as,wind_cat_0_30as,wind_cat_1_15as,wind_cat_1_30as,wind_cat_2_15as,wind_cat_2_30as,wind_cat_3_15as,wind_cat_3_30as,wind_cat_4_15as,wind_cat_4_30as,wind_cat_5_15as,wind_cat_5_30as
1980,SH081980,NONAME,Madagascar,MDG,Vakinakaratra,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,810518.0,,470.09,,{0: 810518},,810518.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Vatovavy Fitovinany,MDG,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,135.0,,957.41,,{0: 135},,135.0,,0.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Madagascar,MDG,Antananarivo,MDG.1_1,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,6279805.0,,1200503.56,,"{0: 2890749, 1: 3388976, 2: 80}",,2890749.0,,3388976.0,,80.0,,0.0,,0.0,,0.0,
1980,SH081980,NONAME,Madagascar,MDG,Antsiranana,MDG.2_1,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,475560.0,,161122.43,,"{0: 389301, 1: 81402, 2: 4857}",,389301.0,,81402.0,,4857.0,,0.0,,0.0,,0.0,
1980,SH081980,NONAME,Madagascar,MDG,Fianarantsoa,MDG.3_1,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,750509.0,,25487.46,,{0: 750509},,750509.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1980,SH081980,NONAME,Madagascar,MDG,Mahajanga,MDG.4_1,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,1929536.0,,1118062.08,,"{0: 1295788, 1: 581179, 2: 52569}",,1295788.0,,581179.0,,52569.0,,0.0,,0.0,,0.0,
1980,SH081980,NONAME,Madagascar,MDG,Toamasina,MDG.5_1,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,3430927.0,,29736440.23,,"{0: 379783, 1: 982427, 2: 2022801, 3: 45916}",,379783.0,,982427.0,,2022801.0,,45916.0,,0.0,,0.0,
1980,SH081980,NONAME,Mauritius,MUS,Riviere Du Rempart,MUS,,1980-01-17 00:00,,1980-01-29 00:00,,OFCL,,123738.0,,448196.09,,"{0: 81668, 1: 42070}",,81668.0,,42070.0,,0.0,,0.0,,0.0,,0.0
1980,SH081980,NONAME,Mauritius,MUS,Savanne,MUS.12_1,1980-01-17 00:00,1980-01-17 00:00,1980-01-29 00:00,1980-01-29 00:00,OFCL,OFCL,35597.0,57384.0,81051.56,5150.27,{0: 35597},"{0: 57211, 1: 173}",35597.0,57211.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH081980,NONAME,Mauritius,MUS,Black River,MUS.2_1,1980-01-17 00:00,1980-01-17 00:00,1980-01-29 00:00,1980-01-29 00:00,OFCL,OFCL,93864.0,72490.0,1471920.56,5430607.67,"{0: 65904, 1: 27960}","{0: 44327, 1: 28163}",65904.0,44327.0,27960.0,28163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH081980,NONAME,Mauritius,MUS,Flacq,MUS.3_1,1980-01-17 00:00,1980-01-17 00:00,1980-01-29 00:00,1980-01-29 00:00,OFCL,OFCL,85814.0,148203.0,34198.63,15815.85,{0: 85814},{0: 148203},85814.0,148203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH081980,NONAME,Mauritius,MUS,Grand Port,MUS.4_1,1980-01-17 00:00,1980-01-17 00:00,1980-01-29 00:00,1980-01-29 00:00,OFCL,OFCL,74326.0,115971.0,1947218.83,22853.32,{0: 74326},{0: 115971},74326.0,115971.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH081980,NONAME,Mauritius,MUS,Moka,MUS.5_1,1980-01-17 00:00,1980-01-17 00:00,1980-01-29 00:00,1980-01-29 00:00,OFCL,OFCL,66357.0,144916.0,12189.93,15730.83,"{0: 66167, 1: 190}","{0: 112512, 1: 32404}",66167.0,112512.0,190.0,32404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,SH081980,NONAME,Mauritius,MUS,Pamplemousses,MUS.6_1,1980-01-17 00:00,1980-01-17 00:00,1980-01-29 00:00,1980-01-29 00:00,OFCL,OFCL,110660.0,165109.0,883872.63,7924409.68,"{0: 102155, 1: 8505}","{0: 145853, 1: 19256}",102155.0,145853.0,8505.0,19256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
